smartphones  : 63.80516035688449
smartphone  : 55.62553042186051
phones  : 54.57732070198195
phone  : 33.76623376623377
apple  : 32.28549182270258
electronics  : 31.564446949062333
makers  : 29.95014245014245
iphone  : 29.65221431758144
market  : 28.50496708174611
high-end  : 27.92022792022792
samsung  : 26.302151883547232
marketing  : 24.755660372098728
share  : 24.27521743367732
article  : 24.145263008784063
competition  : 22.819156152489487
handset  : 22.58773270009225
mobile  : 22.204084558082762
handsets  : 20.822419113017403
sold  : 20.770041041085133
software  : 20.47496000984373
xiaomi  : 20.100002036324323
galaxy  : 19.848326635656953
lenovo  : 19.43186244261513
cost  : 19.385209630438275
research  : 19.367969616020645
sales  : 18.065470552771554
reprint  : 18.04939249512119
license  : 18.04939249512119
devices  : 17.79107494815735
inc  : 17.469073495927326
chinese  : 17.056004716166356
android  : 16.854905380817865
models  : 16.207660652105098
idc  : 16.183816183816184
low-cost  : 16.120037986704652
iphones  : 16.058554166810044
global  : 15.668517243829415
launch  : 15.454718181620908
earlier  : 15.401171333374723
co  : 15.27396936967091
shipments  : 15.221875827936435
according  : 15.136771800180076
true  : 15.065763252291749
company  : 14.835142339915729
markets  : 14.736313252633728
--  : 14.425121299678352
sells  : 14.419547752881087
features  : 14.419547752881087
screen  : 14.319336058466494
components  : 14.304721956436996
maker  : 14.264395537308241
device  : 14.245014245014245
jones  : 14.047483380816715
feel  : 13.9654695991912
quarter  : 13.76183221739317
quarters  : 13.713200379867047
plus  : 13.314225413185113
version  : 13.314225413185113
analysts  : 13.090728875358419
-  : 13.043813043813044
own  : 12.827635681654272
tablet  : 12.681036950258271
dow  : 12.554965377691016
rivals  : 12.336053758488646
model  : 12.286336233620066
third  : 11.9845452480302
niche  : 11.746094522444137
expanding  : 11.647102155694014
camera  : 11.342423513177373
service  : 11.183350784490386
billion  : 10.97815764482431
past  : 10.966621422420713
